Dates,Profits
1999-12-31,0.048926511474992176
2000-01-31,0.03429946239544386
2000-02-29,-0.050721821902841135
2000-03-31,-0.053483524866072864
2000-04-30,-0.029499282351780298
2000-05-31,-0.008754453916673843
2000-06-30,-0.022717957975416272
2000-07-31,0.00037984658482821676
2000-08-31,-0.023936175008173934
2000-09-30,-0.007859094280738655
2000-10-31,0.00891720797260236
2000-11-30,0.01725116387395358
2000-12-31,-0.06617795009840724
2001-01-31,0.1157937295026776
2001-02-28,0.03751404557771469
2001-03-31,-0.03743640530746048
2001-04-30,0.04512876298373972
2001-05-31,0.07452061976999985
2001-06-30,0.012467189037897473
2001-07-31,0.07484176229007966
2001-08-31,0.1308225425628251
2001-09-30,-0.07645772285647243
2001-10-31,-0.08135366223509563
2001-11-30,-0.011872638327268835
2001-12-31,0.06587511100613447
2002-01-31,0.04592468109236643
2002-02-28,-0.01889420863850091
2002-03-31,0.09418083453296701
2002-04-30,0.06620725362355175
2002-05-31,0.05836820055840125
2002-06-30,-0.014744716992773577
2002-07-31,-0.00669557769354674
2002-08-31,0.06637367078337257
2002-09-30,-0.07428404714584284
2002-10-31,-0.07592638208548885
2002-11-30,0.14425673393229946
2002-12-31,-0.02051120457800093
2003-01-31,0.006472348769810572
2003-02-28,0.007827574464634154
2003-03-31,-0.08081111779266774
2003-04-30,0.02345413180778824
2003-05-31,-0.03289999052436779
2003-06-30,-0.04691594380893964
2003-07-31,-0.03771692129730231
2003-08-31,-0.007735180276055818
2003-09-30,0.05219034658374133
2003-10-31,0.0027463440055468073
2003-11-30,-0.03605209690566371
2003-12-31,0.05556881313196607
2004-01-31,-0.005539071678317999
2004-02-29,-0.02827201374091921
2004-03-31,-0.05850291745045637
2004-04-30,0.012285296168705263
2004-05-31,0.011320219025168577
2004-06-30,0.02539063190497952
2004-07-31,-0.0016345939852945978
2004-08-31,0.0003796503867806514
2004-09-30,-0.006378514237625341
2004-10-31,-0.012812964535443363
2004-11-30,0.0022676991193080857
2004-12-31,0.02464469723609506
2005-01-31,0.01553940671834457
2005-02-28,-0.008024755884349278
2005-03-31,-0.000665190733740318
2005-04-30,0.0005535892715710089
2005-05-31,0.01921488636517721
2005-06-30,-0.007291433499382171
2005-07-31,0.019888918590555506
2005-08-31,0.02909793543379555
2005-09-30,-0.02323921093063415
2005-10-31,0.014489066826941403
2005-11-30,0.003187475222534708
2005-12-31,0.043327272622673156
2006-01-31,-0.04128354889409573
2006-02-28,-0.003743792938630676
2006-03-31,-0.00835474976979933
2006-04-30,-0.016622741301109203
2006-05-31,0.00153961324214067
2006-06-30,0.01754453724444338
2006-07-31,0.007977599852356222
2006-08-31,0.01870102645696823
2006-09-30,0.009881583632953307
2006-10-31,0.01494516729029427
2006-11-30,0.03086449627513095
2006-12-31,0.006451987984022823
2007-01-31,0.009661875773924411
2007-02-28,0.00797577875091604
2007-03-31,-0.019013784016693888
2007-04-30,0.016738735507031553
2007-05-31,-0.02449368732288084
2007-06-30,-0.005324440479306733
2007-07-31,0.010181228016476718
2007-08-31,0.03699313667201316
2007-09-30,0.04965043594810834
2007-10-31,0.03242794554991986
2007-11-30,0.012364481912728143
2007-12-31,-0.022702715375979857
2008-01-31,0.021683632498563154
2008-02-29,-0.027296627097555023
2008-03-31,0.04677002320494168
2008-04-30,0.040385586325421996
2008-05-31,0.050881944842050636
2008-06-30,-0.08805111415852052
2008-07-31,-0.013115416074664708
2008-08-31,0.015873486896264583
2008-09-30,0.09349640454181882
2008-10-31,0.05707293774816036
2008-11-30,0.0011297386339284218
2008-12-31,0.07274383707271943
2009-01-31,0.038820390563030674
2009-02-28,-0.08413536216524857
2009-03-31,-0.12148773952314806
2009-04-30,-0.014357486753222327
2009-05-31,0.041031825541890464
2009-06-30,-0.03687775267555704
2009-07-31,-0.034706160889644885
2009-08-31,0.0012726244729822644
2009-09-30,0.04818907565091497
2009-10-31,0.00898641788486534
2009-11-30,-0.011281241245570086
2009-12-31,-0.01620385930760775
2010-01-31,-0.0016150529087111563
2010-02-28,0.050958178231020675
2010-03-31,-0.00213216712316764
2010-04-30,0.012847698510291522
2010-05-31,0.021951294197327845
2010-06-30,-0.012045604773733148
2010-07-31,0.025321927733589322
2010-08-31,0.013078546829144265
2010-09-30,0.006956315574686657
2010-10-31,0.0719193120337988
2010-11-30,0.012244445278108355
2010-12-31,-0.044901224525551606
2011-01-31,0.017529727534832906
2011-02-28,0.01572243187889293
2011-03-31,-0.012810374636279119
2011-04-30,-0.009558005109043033
2011-05-31,0.017927946887966995
2011-06-30,-0.011852240390002683
2011-07-31,-0.03231068393532022
2011-08-31,-0.056990150211389715
2011-09-30,0.02216352459344597
2011-10-31,0.008813696319482258
2011-11-30,0.011847388254282266
2011-12-31,-0.07450776282902245
2012-01-31,-0.007311137085491651
2012-02-29,-0.001744817993710646
2012-03-31,0.017280887125563058
2012-04-30,0.012976224285258117
2012-05-31,-0.016209681305261667
2012-06-30,0.03512929406884377
2012-07-31,-0.01245617118439446
2012-08-31,-0.019158593711295645
2012-09-30,-0.003859734959514727
2012-10-31,0.03481935178330349
2012-11-30,-0.0004889077320249686
2012-12-31,0.01446118818570439
2013-01-31,0.03662783981150834
2013-02-28,0.0012601754493359214
2013-03-31,-0.011857366308032379
2013-04-30,0.011353393740190666
2013-05-31,0.015994609408588763
2013-06-30,0.016365195177040513
2013-07-31,-0.007300875622881486
2013-08-31,0.0180032524177568
2013-09-30,-0.01905840539850805
2013-10-31,0.014678352256642314
2013-11-30,0.01158291090382946
2013-12-31,-0.003269453695030889
2014-01-31,-0.016911082206539717
2014-02-28,0.004996673331320655
2014-03-31,0.0003047668715597139
2014-04-30,-0.0025097755837650178
2014-05-31,-0.012026017454064175
2014-06-30,-0.009594778107664133
2014-07-31,-0.0033898023154803406
2014-08-31,0.021665474601484623
2014-09-30,-0.02209407282667917
2014-10-31,-0.011062913125802876
2014-11-30,-0.021591252428558593
2014-12-31,0.03972063357808275
2015-01-31,-0.019574387115160727
2015-02-28,-5.309018909667191e-05
2015-03-31,-0.017538971429098816
2015-04-30,0.018861729885512515
2015-05-31,0.00817421422185105
2015-06-30,0.022430079855734975
2015-07-31,0.0032265518051119157
2015-08-31,0.020963082380579912
2015-09-30,-0.010968033806203106
2015-10-31,0.009011916204424321
2015-11-30,0.024925725675322682
2015-12-31,0.023736305241983002
2016-01-31,-0.007852349832086426
2016-02-29,-0.011035378721519452
2016-03-31,-0.041679338669911005
2016-04-30,0.027678787772134353
2016-05-31,-0.0010713467949516886
2016-06-30,0.03179663916194664
2016-07-31,-0.013040307231147952
2016-08-31,0.014552699891686194
2016-09-30,-0.013629420802575835
2016-10-31,0.018251512856018202
2016-11-30,-0.012837531065921545
2016-12-31,0.027126844929576198
2017-01-31,-0.02489092519100615
2017-02-28,-0.007436740607312786
2017-03-31,0.0114489288640252
2017-04-30,-0.04441259296206193
2017-05-31,0.03226847750131741
2017-06-30,0.006513774336167244
2017-07-31,-0.003184040778470832
2017-08-31,0.031541396139966
2017-09-30,0.019389021913530934
2017-10-31,-0.03141386228720651
2017-11-30,-0.004754661974951469
2017-12-31,0.02590177731705752
2018-01-31,-0.0025391499421707486
2018-02-28,-0.04028109566559908
2018-03-31,0.013473096123490652
2018-04-30,0.020392928198604655
2018-05-31,-0.024244322884135448
2018-06-30,-0.022769562347420735
2018-07-31,0.022114006686530054
2018-08-31,0.007438529118424508
2018-09-30,-0.05107094265734156
2018-10-31,-0.034304916231775076
2018-11-30,-0.007789672675499355
2018-12-31,-0.006082171451226977
2019-01-31,0.003166389942281557
2019-02-28,0.0209859650956185
2019-03-31,-0.018269077089021105
2019-04-30,0.027422795679655727
2019-05-31,0.013451916947798903
2019-06-30,0.03251826696287032
2019-07-31,0.034337667507359226
2019-08-31,-0.0335725051135452
2019-09-30,-0.02326196640614382
2019-10-31,0.009563195442634375
2019-11-30,0.01085277858656231
2019-12-31,0.04069088860509233
2020-01-31,0.03497728883187588
2020-02-29,0.07666739334450207
2020-03-31,0.029042659215019112
2020-04-30,0.004251134354353356
2020-05-31,0.006759417948127755
2020-06-30,0.043756909838123595
2020-07-31,-0.012984312247290063
2020-08-31,0.06220306214315217
2020-09-30,-0.037862197817642725
2020-10-31,-0.07773630430196782
2020-11-30,0.014885667864308273
2020-12-31,0.02386918046996602
2021-01-31,-0.01462210053596753
2021-02-28,0.008027482387546865
2021-03-31,0.004757809324306051
2021-04-30,0.002114083553325253
2021-05-31,-0.02580628897727626
2021-06-30,0.035616714762536736
2021-07-31,-0.017389543057425728
2021-08-31,0.003898522174738031
2021-09-30,0.022987033355842804
2021-10-31,-0.020194564417915405
2021-11-30,-0.006827182996086003
2021-12-31,0.0012272622609693865
2022-01-31,-0.07971607853073895
2022-02-28,0.012670001247476817
2022-03-31,0.03878467824635427
2022-04-30,0.023291497214453383
2022-05-31,0.07305364507049883
2022-06-30,-0.07890979125855044
2022-07-31,0.0735481638494218
2022-08-31,0.01051917085572858
2022-09-30,-0.017983219601714673
